t (YYYYMMDD_HH:MM:SS),T (°C),RH (%RH),P (kPa)
20240323_230200 , 18.448812225833535 , 30.298517467580613 , 956.2184505792866
20240323_230300 , 18.75294583151117 , 29.958769963472573 , 956.1570464161811
20240323_230400 , 19.006391303264536 , 29.714249115187 , 956.1551701293081
20240323_230500 , 19.193941420788178 , 29.537670445607375 , 956.1633652546923
20240323_230600 , 19.35614724914194 , 29.417226334081402 , 956.1879101749265
20240323_230700 , 19.477801815985003 , 29.219427220782624 , 956.233342479385
20240323_230800 , 19.589318649523193 , 29.267280432432617 , 956.2094928892518
20240323_230900 , 19.685628755483776 , 29.27640185282192 , 956.1358985515376
20240323_231000 , 19.771801044611493 , 29.185245578205226 , 956.1013745496731
20240323_231100 , 19.847835487220436 , 29.02725791796672 , 956.1059487268157
20240323_231200 , 19.543698109686375 , 29.08409970887415 , 956.1146089765887
20240323_231300 , 19.320664698723704 , 29.390077772452784 , 956.3246958501484
20240323_231400 , 19.13311431198963 , 29.544487097621673 , 956.262408015857
20240323_231500 , 18.93035758534097 , 29.699051388012773 , 956.2044651955533
20240323_231600 , 18.788428153755376 , 29.835555287845647 , 956.2098220904803
20240323_231700 , 18.585672218730906 , 29.961996569463327 , 956.2868766159797
20240323_231800 , 18.418398922891356 , 30.065375340730306 , 956.1191247534372
20240323_231900 , 18.24098819788196 , 30.25228406062856 , 956.1525035722359
20240323_232000 , 18.109197604382643 , 30.41040101696464 , 956.2266222943323
20240323_232100 , 17.982476065400988 , 30.59055386033861 , 956.2001170783332
20240323_232200 , 17.8810989651829 , 30.6979167690289 , 956.1842785090574
20240323_232300 , 17.744240064552287 , 30.78360896422465 , 956.223608690508
20240323_232400 , 17.663138593925396 , 30.918282918051602 , 956.075846617684
20240323_232500 , 17.597243703901768 , 30.980465987116705 , 956.1667472021978
20240323_232600 , 17.5668306943262 , 30.942103920377942 , 956.3374590285744
20240323_232700 , 17.51614236831665 , 30.91518930775925 , 956.2079658815924
20240323_232800 , 17.48572938668076 , 31.037825426698234 , 956.2436610203619
20240323_232900 , 17.47559172846377 , 31.21562100295919 , 956.1475733036599
20240323_233000 , 17.89123666996602 , 30.60327317388541 , 956.1993709437016
20240323_233100 , 18.266332565341145 , 30.246253395058314 , 956.1902197852169
20240323_233200 , 18.595810004422674 , 29.833759042981242 , 956.1667379179131
20240323_233300 , 18.849255025066668 , 29.566973650608194 , 956.2191312913078
20240323_233400 , 19.062149404693628 , 29.445608784127263 , 956.2110177554262
20240323_233500 , 19.214217133034253 , 29.33095796245555 , 956.1664382671981
20240323_233600 , 19.34600937613868 , 29.250113246996882 , 956.2269938253645
20240323_233700 , 19.452457100735046 , 29.281334087920474 , 956.1144271765214
20240323_233800 , 19.563973902259022 , 29.251076278812107 , 956.1718267024047
20240323_233900 , 19.66535293497145 , 29.137289226022492 , 956.2141327867962
20240323_234000 , 19.731249368662247 , 28.957221852847702 , 956.2849670360147
20240323_234100 , 19.42204345203936 , 28.991881717865173 , 956.2858660342903
20240323_234200 , 19.193941420788178 , 29.331381870903815 , 956.3257864163036
20240323_234300 , 19.021598054707283 , 29.407431316141686 , 956.4754732785653
